7.768536408826892
205	0000000

136	0000001

61	0000010

135	0000011

152	0000100

161	00001010

108	00001011

201	0000110

49	0000111

151	0001000

50	0001001

139	0001010

48	0001011

138	0001100

107	00011010

160	00011011

51	0001110

202	0001111

55	0010000

237	00100010

27	00100011

137	0010010

57	0010011

140	0010100

191	00101010

104	00101011

26	00101100

106	00101101

150	0010111

206	0011000

20	001100100

182	001100101

105	00110011

217	0011010

101	00110110

100	00110111

28	00111000

192	00111001

203	0011101

218	0011110

110	00111110

227	00111111

149	0100000

102	01000010

103	01000011

240	0100010

98	01000110

111	01000111

141	0100100

233	01001010

31	01001011

142	0100110

212	0100111

30	01010000

193	01010001

224	0101001

119	01010100

115	01010101

159	01010110

120	01010111

145	0101100

97	01011010

118	01011011

144	0101110

148	0101111

143	0110000

99	01100010

121	01100011

96	01100100

177	011001010

16	01100101100

246	01100101101

18	0110010111

194	01100110

113	01100111

238	0110100

216	0110101

29	01101100

95	01101101

221	0110111

207	0111000

147	0111001

146	0111010

117	01110110

112	01110111

222	0111100

21	011110100

179	011110101

122	01111011

116	01111100

196	01111101

93	01111110

124	01111111

123	10000000

230	10000001

181	100000100

176	100000101

158	10000011

213	1000010

219	1000011

195	10001000

226	10001001

32	10001010

185	100010110

183	100010111

114	10001100

94	10001101

211	1000111

242	100100000

175	100100001

232	10010001

210	1001001

178	100101000

174	100101001

126	10010101

209	1001011

180	100110000

184	100110001

36	10011001

223	1001101

208	1001110

33	10011110

172	100111110

173	100111111

35	10100000

125	10100001

128	10100010

91	10100011

39	10100100

22	101001010

169	101001011

220	1010011

34	10101000

90	10101001

170	101010100

166	101010101

89	10101011

70	10101100

127	10101101

38	10101110

171	101011110

165	101011111

80	10110000

239	10110001

82	10110010

74	10110011

76	10110100

157	10110101

198	10110110

197	10110111

92	10111000

234	10111001

37	10111010

83	10111011

86	10111100

78	10111101

23	101111100

186	101111101

75	10111111

71	11000000

88	11000001

73	11000010

168	110000110

167	110000111

228	11000100

84	11000101

77	11000110

40	11000111

19	1100100000

14	1100100001000

12	110010000100100

249	11001000010010100

251	11001000010010101

248	1100100001001011

252	11001000010011000

250	11001000010011001

247	1100100001001101

13	110010000100111

15	110010000101

17	11001000011

243	110010001

129	11001001

79	11001010

231	11001011

81	11001100

24	110011010

187	110011011

85	11001110

156	11001111

68	11010000

72	11010001

87	11010010

67	11010011

162	110101000

236	110101001

64	11010101

131	11010110

235	11010111

215	1101100

41	11011010

69	11011011

43	11011100

45	11011101

214	1101111

189	111000000

164	111000001

133	11100001

225	11100010

134	11100011

44	11100100

65	11100101

163	111001100

190	111001101

60	11100111

63	11101000

25	111010010

245	111010011

199	11101010

130	11101011

200	11101100

53	11101101

42	11101110

46	11101111

66	11110000

62	11110001

155	11110010

204	11110011

188	111101000

244	111101001

132	11110101

229	11110110

47	11110111

59	11111000

154	11111001

153	11111010

241	111110110

109	111110111

54	11111100

56	11111101

58	11111110

52	11111111

